replication,apk,generating_script,num_flows,time,total_TP,detected_TP,total_FP,detected_FP,option_under_investigation,analyzestringsunfiltered,filetransform,ignoreexceptionflows,ignorenocontextflows,implicitflow,imprecisestrings,limitcontextforcomplex,limitcontextforgui,limitcontextforstrings,multipassfb,noarrayindex,noclinitcontext,noclonestatics,nofallback,nojsa,noscalaropts,nova,preciseinfoflow,transfertaintfield,typesforcontext,apicalldepth,kobjsens,pta
1,ru.henridellal.dialer_10.apk,config_DroidSafe_kobjsens1.xml,11343,607662.8475,7,3,33,23,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,1,SPARK
1,ru.henridellal.dialer_10.apk,config_DroidSafe_kobjsens2.xml,0,877403.2087,7,0,33,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ru.henridellal.dialer_10.apk,config_DroidSafe_kobjsens1.xml,11343,423891.9427,7,3,33,23,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,1,SPARK
2,ru.henridellal.dialer_10.apk,config_DroidSafe_kobjsens2.xml,0,749044.0203,7,0,33,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ru.henridellal.dialer_10.apk,config_DroidSafe_kobjsens1.xml,11343,699463.5292,7,3,33,23,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,1,SPARK
3,ru.henridellal.dialer_10.apk,config_DroidSafe_kobjsens2.xml,0,881869.9335,7,0,33,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,net.tedstein.AndroSS_17.apk,config_DroidSafe_kobjsens2.xml,783,411461.9817,4,3,42,13,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
1,net.tedstein.AndroSS_17.apk,config_DroidSafe_kobjsens3.xml,0,627988.9496,4,0,42,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,org.dyndns.sven_ola.debian_kit_6.apk,config_DroidSafe_kobjsens2.xml,73,623164.3735,2,2,19,3,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
1,org.dyndns.sven_ola.debian_kit_6.apk,config_DroidSafe_kobjsens3.xml,0,773602.1977,2,0,19,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,org.jsl.wfwt_14.apk,config_DroidSafe_kobjsens2.xml,7025,863356.2983,4,4,53,29,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
1,org.jsl.wfwt_14.apk,config_DroidSafe_kobjsens3.xml,0,961744.4215,4,0,53,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,net.tedstein.AndroSS_17.apk,config_DroidSafe_kobjsens2.xml,783,308333.8284,4,3,42,13,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
2,net.tedstein.AndroSS_17.apk,config_DroidSafe_kobjsens3.xml,0,650384.8417,4,0,42,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,org.dyndns.sven_ola.debian_kit_6.apk,config_DroidSafe_kobjsens2.xml,73,619730.8772,2,2,19,3,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
2,org.dyndns.sven_ola.debian_kit_6.apk,config_DroidSafe_kobjsens3.xml,0,538192.2729,2,0,19,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,org.jsl.wfwt_14.apk,config_DroidSafe_kobjsens2.xml,7025,555643.8605,4,4,53,29,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
2,org.jsl.wfwt_14.apk,config_DroidSafe_kobjsens3.xml,0,717886.0371,4,0,53,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,net.tedstein.AndroSS_17.apk,config_DroidSafe_kobjsens2.xml,783,474067.6432,4,3,42,13,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
3,net.tedstein.AndroSS_17.apk,config_DroidSafe_kobjsens3.xml,0,811310.1803,4,0,42,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,org.dyndns.sven_ola.debian_kit_6.apk,config_DroidSafe_kobjsens2.xml,73,679377.0344,2,2,19,3,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
3,org.dyndns.sven_ola.debian_kit_6.apk,config_DroidSafe_kobjsens3.xml,0,885793.1886,2,0,19,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,org.jsl.wfwt_14.apk,config_DroidSafe_kobjsens2.xml,7025,767091.653,4,4,53,29,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,2,SPARK
3,org.jsl.wfwt_14.apk,config_DroidSafe_kobjsens3.xml,0,1232100.172,4,0,53,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,org.dnaq.dialer2_17.apk,config_DroidSafe_kobjsens3.xml,2263,687651.8149,10,2,97,12,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
1,org.dnaq.dialer2_17.apk,config_DroidSafe_kobjsens4.xml,0,692027.051,10,0,97,0,kobjsens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,4,SPARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
